wind_code,trade_coe,sec_name,option_mark_code,option_type,call_or_put,exercise_mode,exercise_price,contract_unit,limit_month,listed_date,expire_date,exercise_date,settlement_date,reference_price,settle_mode,contract_state
10000077,510050C1506M02650,50ETF购2015年6月2650,510050.SH,ETF期权,认购,欧式,2.65,10000,2015-06,2015/3/18 0:00:00,2015/6/24 0:00:00,2015-06-24,2015-06-25,0.0866,实物资产,退市,
10000078,510050P1506M02650,50ETF沽2015年6月2650,510050.SH,ETF期权,认沽,欧式,2.65,10000,2015-06,2015/3/18 0:00:00,2015/6/24 0:00:00,2015-06-24,2015-06-25,0.1932,实物资产,退市,
10000079,510050C1509M02650,50ETF购2015年9月2650,510050.SH,ETF期权,认购,欧式,2.65,10000,2015-09,2015/3/18 0:00:00,2015/9/23 0:00:00,2015-09-23,2015-09-24,0.1312,实物资产,退市,
10000080,510050P1509M02650,50ETF沽2015年9月2650,510050.SH,ETF期权,认沽,欧式,2.65,10000,2015-09,2015/3/18 0:00:00,2015/9/23 0:00:00,2015-09-23,2015-09-24,0.24,实物资产,退市,
10000081,510050C1503M02700,50ETF购2015年3月2700,510050.SH,ETF期权,认购,欧式,2.7,10000,2015-03,2015/3/19 0:00:00,2015/3/25 0:00:00,2015-03-25,2015-03-26,0.0049,实物资产,退市,
10000082,510050P1503M02700,50ETF沽2015年3月2700,510050.SH,ETF期权,认沽,欧式,2.7,10000,2015-03,2015/3/19 0:00:00,2015/3/25 0:00:00,2015-03-25,2015-03-26,0.0947,实物资产,退市,
10000083,510050C1504M02700,50ETF购2015年4月2700,510050.SH,ETF期权,认购,欧式,2.7,10000,2015-04,2015/3/19 0:00:00,2015/4/22 0:00:00,2015-04-22,2015-04-23,0.0391,实物资产,退市,
10000084,510050P1504M02700,50ETF沽2015年4月2700,510050.SH,ETF期权,认沽,欧式,2.7,10000,2015-04,2015/3/19 0:00:00,2015/4/22 0:00:00,2015-04-22,2015-04-23,0.1379,实物资产,退市,
10000085,510050C1506M02700,50ETF购2015年6月2700,510050.SH,ETF期权,认购,欧式,2.7,10000,2015-06,2015/3/19 0:00:00,2015/6/24 0:00:00,2015-06-24,2015-06-25,0.0868,实物资产,退市,
10000086,510050P1506M02700,50ETF沽2015年6月2700,510050.SH,ETF期权,认沽,欧式,2.7,10000,2015-06,2015/3/19 0:00:00,2015/6/24 0:00:00,2015-06-24,2015-06-25,0.1956,实物资产,退市,
10000087,510050C1509M02700,50ETF购2015年9月2700,510050.SH,ETF期权,认购,欧式,2.7,10000,2015-09,2015/3/19 0:00:00,2015/9/23 0:00:00,2015-09-23,2015-09-24,0.1347,实物资产,退市,
10000088,510050P1509M02700,50ETF沽2015年9月2700,510050.SH,ETF期权,认沽,欧式,2.7,10000,2015-09,2015/3/19 0:00:00,2015/9/23 0:00:00,2015-09-23,2015-09-24,0.239,实物资产,退市,
10000089,510050C1503M02750,50ETF购2015年3月2750,510050.SH,ETF期权,认购,欧式,2.75,10000,2015-03,2015/3/23 0:00:00,2015/3/25 0:00:00,2015-03-25,2015-03-26,0.0006,实物资产,退市,
10000090,510050P1503M02750,50ETF沽2015年3月2750,510050.SH,ETF期权,认沽,欧式,2.75,10000,2015-03,2015/3/23 0:00:00,2015/3/25 0:00:00,2015-03-25,2015-03-26,0.1152,实物资产,退市,
10000091,510050C1504M02750,50ETF购2015年4月2750,510050.SH,ETF期权,认购,欧式,2.75,10000,2015-04,2015/3/23 0:00:00,2015/4/22 0:00:00,2015-04-22,2015-04-23,0.0368,实物资产,退市,
10000092,510050P1504M02750,50ETF沽2015年4月2750,510050.SH,ETF期权,认沽,欧式,2.75,10000,2015-04,2015/3/23 0:00:00,2015/4/22 0:00:00,2015-04-22,2015-04-23,0.1489,实物资产,退市,
10000093,510050C1506M02750,50ETF购2015年6月2750,510050.SH,ETF期权,认购,欧式,2.75,10000,2015-06,2015/3/23 0:00:00,2015/6/24 0:00:00,2015-06-24,2015-06-25,0.0901,实物资产,退市,
10000094,510050P1506M02750,50ETF沽2015年6月2750,510050.SH,ETF期权,认沽,欧式,2.75,10000,2015-06,2015/3/23 0:00:00,2015/6/24 0:00:00,2015-06-24,2015-06-25,0.2039,实物资产,退市,
10000095,510050C1509M02750,50ETF购2015年9月2750,510050.SH,ETF期权,认购,欧式,2.75,10000,2015-09,2015/3/23 0:00:00,2015/9/23 0:00:00,2015-09-23,2015-09-24,0.1352,实物资产,退市,
10000096,510050P1509M02750,50ETF沽2015年9月2750,510050.SH,ETF期权,认沽,欧式,2.75,10000,2015-09,2015/3/23 0:00:00,2015/9/23 0:00:00,2015-09-23,2015-09-24,0.2482,实物资产,退市,
10000097,510050C1503M02800,50ETF购2015年3月2800,510050.SH,ETF期权,认购,欧式,2.8,10000,2015-03,2015/3/24 0:00:00,2015/3/25 0:00:00,2015-03-25,2015-03-26,0.0003,实物资产,退市,
10000098,510050P1503M02800,50ETF沽2015年3月2800,510050.SH,ETF期权,认沽,欧式,2.8,10000,2015-03,2015/3/24 0:00:00,2015/3/25 0:00:00,2015-03-25,2015-03-26,0.1251,实物资产,退市,
10000099,510050C1504M02800,50ETF购2015年4月2800,510050.SH,ETF期权,认购,欧式,2.8,10000,2015-04,2015/3/24 0:00:00,2015/4/22 0:00:00,2015-04-22,2015-04-23,0.04,实物资产,退市,
10000100,510050P1504M02800,50ETF沽2015年4月2800,510050.SH,ETF期权,认沽,欧式,2.8,10000,2015-04,2015/3/24 0:00:00,2015/4/22 0:00:00,2015-04-22,2015-04-23,0.1633,实物资产,退市,
10000101,510050C1506M02800,50ETF购2015年6月2800,510050.SH,ETF期权,认购,欧式,2.8,10000,2015-06,2015/3/24 0:00:00,2015/6/24 0:00:00,2015-06-24,2015-06-25,0.087,实物资产,退市,
10000102,510050P1506M02800,50ETF沽2015年6月2800,510050.SH,ETF期权,认沽,欧式,2.8,10000,2015-06,2015/3/24 0:00:00,2015/6/24 0:00:00,2015-06-24,2015-06-25,0.2129,实物资产,退市,
10000103,510050C1509M02800,50ETF购2015年9月2800,510050.SH,ETF期权,认购,欧式,2.8,10000,2015-09,2015/3/24 0:00:00,2015/9/23 0:00:00,2015-09-23,2015-09-24,0.134,实物资产,退市,
10000104,510050P1509M02800,50ETF沽2015年9月2800,510050.SH,ETF期权,认沽,欧式,2.8,10000,2015-09,2015/3/24 0:00:00,2015/9/23 0:00:00,2015-09-23,2015-09-24,0.2555,实物资产,退市,
10000105,510050C1505M02500,50ETF购2015年5月2500,510050.SH,ETF期权,认购,欧式,2.5,10000,2015-05,2015/3/26 0:00:00,2015/5/27 0:00:00,2015-05-27,2015-05-28,0.1744,实物资产,退市,
10000106,510050C1505M02550,50ETF购2015年5月2550,510050.SH,ETF期权,认购,欧式,2.55,10000,2015-05,2015/3/26 0:00:00,2015/5/27 0:00:00,2015-05-27,2015-05-28,0.1477,实物资产,退市,
10000107,510050C1505M02600,50ETF购2015年5月2600,510050.SH,ETF期权,认购,欧式,2.6,10000,2015-05,2015/3/26 0:00:00,2015/5/27 0:00:00,2015-05-27,2015-05-28,0.1219,实物资产,退市,
10000108,510050C1505M02650,50ETF购2015年5月2650,510050.SH,ETF期权,认购,欧式,2.65,10000,2015-05,2015/3/26 0:00:00,2015/5/27 0:00:00,2015-05-27,2015-05-28,0.1006,实物资产,退市,
10000109,510050C1505M02700,50ETF购2015年5月2700,510050.SH,ETF期权,认购,欧式,2.7,10000,2015-05,2015/3/26 0:00:00,2015/5/27 0:00:00,2015-05-27,2015-05-28,0.0792,实物资产,退市,
10000110,510050P1505M02500,50ETF沽2015年5月2500,510050.SH,ETF期权,认沽,欧式,2.5,10000,2015-05,2015/3/26 0:00:00,2015/5/27 0:00:00,2015-05-27,2015-05-28,0.0699,实物资产,退市,
10000111,510050P1505M02550,50ETF沽2015年5月2550,510050.SH,ETF期权,认沽,欧式,2.55,10000,2015-05,2015/3/26 0:00:00,2015/5/27 0:00:00,2015-05-27,2015-05-28,0.0906,实物资产,退市,
10000112,510050P1505M02600,50ETF沽2015年5月2600,510050.SH,ETF期权,认沽,欧式,2.6,10000,2015-05,2015/3/26 0:00:00,2015/5/27 0:00:00,2015-05-27,2015-05-28,0.1144,实物资产,退市,
10000113,510050P1505M02650,50ETF沽2015年5月2650,510050.SH,ETF期权,认沽,欧式,2.65,10000,2015-05,2015/3/26 0:00:00,2015/5/27 0:00:00,2015-05-27,2015-05-28,0.1408,实物资产,退市,
10000114,510050P1505M02700,50ETF沽2015年5月2700,510050.SH,ETF期权,认沽,欧式,2.7,10000,2015-05,2015/3/26 0:00:00,2015/5/27 0:00:00,2015-05-27,2015-05-28,0.1726,实物资产,退市,
10000115,510050C1505M02750,50ETF购2015年5月2750,510050.SH,ETF期权,认购,欧式,2.75,10000,2015-05,2015/3/27 0:00:00,2015/5/27 0:00:00,2015-05-27,2015-05-28,0.0722,实物资产,退市,
10000116,510050P1505M02750,50ETF沽2015年5月2750,510050.SH,ETF期权,认沽,欧式,2.75,10000,2015-05,2015/3/27 0:00:00,2015/5/27 0:00:00,2015-05-27,2015-05-28,0.1821,实物资产,退市,
10000117,510050C1504M02850,50ETF购2015年4月2850,510050.SH,ETF期权,认购,欧式,2.85,10000,2015-04,2015/3/31 0:00:00,2015/4/22 0:00:00,2015-04-22,2015-04-23,0.0399,实物资产,退市,
10000118,510050P1504M02850,50ETF沽2015年4月2850,510050.SH,ETF期权,认沽,欧式,2.85,10000,2015-04,2015/3/31 0:00:00,2015/4/22 0:00:00,2015-04-22,2015-04-23,0.1505,实物资产,退市,
10000119,510050C1505M02800,50ETF购2015年5月2800,510050.SH,ETF期权,认购,欧式,2.8,10000,2015-05,2015/3/31 0:00:00,2015/5/27 0:00:00,2015-05-27,2015-05-28,0.1011,实物资产,退市,
10000120,510050C1505M02850,50ETF购2015年5月2850,510050.SH,ETF期权,认购,欧式,2.85,10000,2015-05,2015/3/31 0:00:00,2015/5/27 0:00:00,2015-05-27,2015-05-28,0.0816,实物资产,退市,
10000121,510050P1505M02800,50ETF沽2015年5月2800,510050.SH,ETF期权,认沽,欧式,2.8,10000,2015-05,2015/3/31 0:00:00,2015/5/27 0:00:00,2015-05-27,2015-05-28,0.1565,实物资产,退市,
10000122,510050P1505M02850,50ETF沽2015年5月2850,510050.SH,ETF期权,认沽,欧式,2.85,10000,2015-05,2015/3/31 0:00:00,2015/5/27 0:00:00,2015-05-27,2015-05-28,0.1864,实物资产,退市,
